SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,BANDING_CODES,ORDER,FAMILY_COM_NAME,4-Letter-Code (IBP),Common Name (IBP),6-Letter-Code (IBP),中文名,英文名,Common Name (BBL),4-Letter-Code (BBL),Name_Diff,Code_Diff,Common-Names,4-Letter-Code
Struthio camelus,Common Ostrich,ostric2,species,,Struthioniformes,Ostriches,,,,,,,,,,Common Ostrich,
Struthio molybdophanes,Somali Ostrich,ostric3,species,,Struthioniformes,Ostriches,,,,,,,,,,Somali Ostrich,
Casuarius casuarius,Southern Cassowary,soucas1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Southern Cassowary,
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Dwarf Cassowary,
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Northern Cassowary,
Dromaius novaehollandiae,Emu,emu1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Emu,
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Southern Brown Kiwi,
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Okarito Brown Kiwi,
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,North Island Brown Kiwi,
Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,hybrid,,Apterygiformes,Kiwis,,,,,,,,,,Southern Brown x North Island Brown Kiwi (hybrid),
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Little Spotted Kiwi,
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,,Apterygiformes,Kiwis,,,,,,,,,,Okarito Brown x Little Spotted Kiwi (hybrid),
Apteryx maxima,Great Spotted Kiwi,grskiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Great Spotted Kiwi,
Rhea americana,Greater Rhea,grerhe1,species,,Rheiformes,Rheas,,,,,,,,,,Greater Rhea,
Rhea pennata,Lesser Rhea,lesrhe2,species,,Rheiformes,Rheas,,,,,,,,,,Lesser Rhea,
Tinamotis pentlandii,Puna Tinamou,puntin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Puna Tinamou,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Patagonian Tinamou,
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Quebracho Crested-Tinamou,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Elegant Crested-Tinamou,
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Dwarf Tinamou,
Nothura boraquira,White-bellied Nothura,whbnot1,species,,Tinamiformes,Tinamous,,,,,,,,,,White-bellied Nothura,
Nothura minor,Lesser Nothura,lesnot1,species,,Tinamiformes,Tinamous,,,,,,,,,,Lesser Nothura,
Nothura darwinii,Darwin's Nothura,darnot1,species,,Tinamiformes,Tinamous,,,,,,,,,,Darwin's Nothura,
Nothura maculosa,Spotted Nothura,sponot1,species,,Tinamiformes,Tinamous,,,,,,,,,,Spotted Nothura,
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Huayco Tinamou,
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Red-winged Tinamou,
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Brushland Tinamou,
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Andean Tinamou,
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Curve-billed Tinamou,
Nothoprocta ornata,Ornate Tinamou,orntin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Ornate Tinamou,
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Taczanowski's Tinamou,
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Chilean Tinamou,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Tawny-breasted Tinamou,
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Hooded Tinamou,
Nothocercus bonapartei,Highland Tinamou,higtin1,species,HITI,Tinamiformes,Tinamous,HITI,Highland Tinamou,NOTBON,,,,,,,Highland Tinamou,HITI
Tinamus major,Great Tinamou,gretin1,species,GRTI,Tinamiformes,Tinamous,GRTI,Great Tinamou,TINMAJ,,,,,,,Great Tinamou,GRTI
Tinamus solitarius,Solitary Tinamou,soltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Solitary Tinamou,
Tinamus tao,Gray Tinamou,grytin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Gray Tinamou,
Tinamus guttatus,White-throated Tinamou,whttin1,species,,Tinamiformes,Tinamous,,,,,,,,,,White-throated Tinamou,
Tinamus osgoodi,Black Tinamou,blatin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Black Tinamou,
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Berlepsch's Tinamou,
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Cinereous Tinamou,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Tepui Tinamou,
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Small-billed Tinamou,
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Tataupa Tinamou,
Crypturellus obsoletus,Brown Tinamou,brotin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Brown Tinamou,
Crypturellus variegatus,Variegated Tinamou,vartin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Variegated Tinamou,
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,,Tinamiformes,Tinamous,,,,,,,,,,Bartlett's Tinamou,
Crypturellus casiquiare,Barred Tinamou,bartin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Barred Tinamou,
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Rusty Tinamou,
Crypturellus soui,Little Tinamou,littin1,species,LITI,Tinamiformes,Tinamous,LITI,Little Tinamou,CRYSOU,,,,,,,Little Tinamou,LITI
Crypturellus undulatus,Undulated Tinamou,undtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Undulated Tinamou,
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Yellow-legged Tinamou,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Black-capped Tinamou,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Pale-browed Tinamou,
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,THTI,Tinamiformes,Tinamous,THTI,Thicket Tinamou,CRYCIN,,,,,,,Thicket Tinamou,THTI
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,SBTI,Tinamiformes,Tinamous,SBTI,Slaty-breasted Tinamou,CRYBOU,,,,,,,Slaty-breasted Tinamou,SBTI
Crypturellus kerriae,Choco Tinamou,chotin1,species,CHTI,Tinamiformes,Tinamous,CHTI,Choco Tinamou,CRYKER,,,,,,,Choco Tinamou,CHTI
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Red-legged Tinamou,
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Gray-legged Tinamou,
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Brazilian Tinamou,
Anhima cornuta,Horned Screamer,horscr1,species,,Anseriformes,Screamers,,,,,,,,,,Horned Screamer,
Chauna torquata,Southern Screamer,souscr1,species,,Anseriformes,Screamers,,,,,,,,,,Southern Screamer,
Chauna chavaria,Northern Screamer,norscr1,species,,Anseriformes,Screamers,,,,,,,,,,Northern Screamer,
Anseranas semipalmata,Magpie Goose,maggoo1,species,,Anseriformes,Magpie Goose,,,,,,,,,,Magpie Goose,
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Spotted Whistling-Duck,
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Plumed Whistling-Duck,
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",WFWD,White-faced Whistling-Duck,DENVID,,,,,,,White-faced Whistling-Duck,WFWD
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Spotted x White-faced Whistling-Duck (hybrid),
Dendrocygna eytoni x viduata,Plumed x White-faced Whistling-Duck (hybrid),x01218,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Plumed x White-faced Whistling-Duck (hybrid),
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",BBWD,Black-bellied Whistling-Duck,DENAUT,,,Black-bellied Whistling-Duck,BBWD,,,Black-bellied Whistling-Duck,BBWD
Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),x01141,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,White-faced x Black-bellied Whistling-Duck (hybrid),
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",WIWD,West Indian Whistling-Duck,DENARB,,,West Indian Whistling-Duck,WIWD,,,West Indian Whistling-Duck,WIWD
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Black-bellied x West Indian Whistling-Duck (hybrid),
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",FUWD,Fulvous Whistling-Duck,DENBIC,,,Fulvous Whistling-Duck,FUWD,,,Fulvous Whistling-Duck,FUWD
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,White-faced x Fulvous Whistling-Duck (hybrid),
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Black-bellied x Fulvous Whistling-Duck (hybrid),
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Wandering Whistling-Duck,
Dendrocygna eytoni x arcuata,Plumed x Wandering Whistling-Duck (hybrid),x00990,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Plumed x Wandering Whistling-Duck (hybrid),
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,栗树鸭,Lesser Whistling Duck,,,,,Lesser Whistling-Duck,
Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),x00360,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Wandering x Lesser Whistling-Duck (hybrid),
Thalassornis leuconotus,White-backed Duck,whbduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,White-backed Duck,
Anser indicus,Bar-headed Goose,bahgoo,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,斑头雁,Bar-headed Goose,,,,,Bar-headed Goose,
Anser canagicus,Emperor Goose,empgoo,species,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",EMGO,Emperor Goose,ANSCAN,,,Emperor Goose,EMGO,,,Emperor Goose,EMGO
Anser caerulescens,Snow Goose,snogoo,species,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",SNGO,Snow Goose,ANSCAE,雪雁,Snow Goose,Blue Goose,BLGO,BBL,BBL,Snow Goose|Blue Goose,SNGO
Anser indicus x caerulescens,Bar-headed x Snow Goose (hybrid),x00991,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Snow Goose (hybrid),
Anser canagicus x caerulescens,Emperor x Snow Goose (hybrid),x01176,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Emperor x Snow Goose (hybrid),
Anser rossii,Ross's Goose,rosgoo,species,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",ROGO,Ross's Goose,ANSROS,,,Ross's Goose,ROGO,,,Ross's Goose,ROGO
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,hybrid,SRGH,Anseriformes,"Ducks, Geese, and Waterfowl",SRGH,Snow X Ross's Goose Hybrid,ANSCAR,,,,,,,Snow x Ross's Goose (hybrid),SRGH
Anser anser,Graylag Goose,gragoo,species,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",GRGO,Graylag Goose,ANSANS,灰雁,Greylag Goose,,,CNBIRD,,Graylag Goose|Greylag Goose,GRGO
Anser indicus x anser,Bar-headed x Graylag Goose (hybrid),x00992,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Graylag Goose (hybrid),
Anser canagicus x anser,Emperor x Graylag Goose (hybrid),x01119,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Emperor x Graylag Goose (hybrid),
Anser cygnoides,Swan Goose,swagoo1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,鸿雁,Swan Goose,,,,,Swan Goose,
Anser indicus x cygnoides,Bar-headed x Swan Goose (hybrid),x01143,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Swan Goose (hybrid),
Anser caerulescens x cygnoides,Snow x Swan Goose (hybrid),x01144,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow x Swan Goose (hybrid),
Anser indicus x caerulescens x cygnoides,Bar-headed x Snow x Swan Goose (hybrid),x01142,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Snow x Swan Goose (hybrid),
Anser anser x cygnoides,Graylag x Swan Goose (hybrid),x00776,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Graylag x Swan Goose (hybrid),
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",GWFG,Greater White-fronted Goose,ANSALB,白额雁,Greater White-fronted Goose,Greater White-fronted Goose,GWFG,,,Greater White-fronted Goose,GWFG
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Greater White-fronted Goose (hybrid),
Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),x00361,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Emperor x Greater White-fronted Goose (hybrid),
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow x Greater White-fronted Goose (hybrid),
Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),x00362,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Ross's x Greater White-fronted Goose (hybrid),
Anser anser x albifrons,Graylag x Greater White-fronted Goose (hybrid),x01145,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Graylag x Greater White-fronted Goose (hybrid),
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",LWFG,Lesser White-fronted Goose,ANSERY,小白额雁,Lesser White-fronted Goose,Lesser White-fronted Goose,LWFG,,,Lesser White-fronted Goose,LWFG
Anser fabalis,Taiga Bean-Goose,taibeg1,species,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",TABG,Taiga Bean-Goose,ANSFAB,豆雁,Taiga Bean Goose,Taiga Bean-Goose,TABG,,,Taiga Bean-Goose,TABG
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",TUBG,Tundra Bean-Goose,ANSSER,短嘴豆雁,Tundra Bean Goose,,,,,Tundra Bean-Goose,TUBG
Anser albifrons x serrirostris,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),x01089,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",PFGO,Pink-footed Goose,ANSBRA,,,Pink-footed Goose,PFGO,,,Pink-footed Goose,PFGO
Branta bernicla,Brant,brant,species,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",BRAN,Brant,BRABER,黑雁,Brant Goose,,,CNBIRD,,Brant|Brant Goose,BRAN
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow Goose x Brant (hybrid),
Branta leucopsis,Barnacle Goose,bargoo,species,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",BARG,Barnacle Goose,BRALEU,白颊黑雁,Barnacle Goose,Barnacle Goose,BRNG,,BBL,Barnacle Goose,BARG
Anser indicus x Branta leucopsis,Bar-headed x Barnacle Goose (hybrid),x00363,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Barnacle Goose (hybrid),
Anser canagicus x Branta leucopsis,Emperor x Barnacle Goose (hybrid),x00993,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Emperor x Barnacle Goose (hybrid),
Anser caerulescens x Branta leucopsis,Snow x Barnacle Goose (hybrid),x00994,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow x Barnacle Goose (hybrid),
Anser rossii x Branta leucopsis,Ross's x Barnacle Goose (hybrid),x00995,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Ross's x Barnacle Goose (hybrid),
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Graylag x Barnacle Goose (hybrid),
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Greater White-fronted x Barnacle Goose (hybrid),
Anser erythropus x Branta leucopsis,Lesser White-fronted x Barnacle Goose (hybrid),x00364,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Lesser White-fronted x Barnacle Goose (hybrid),
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Pink-footed x Barnacle Goose (hybrid),
Branta hutchinsii,Cackling Goose,cacgoo1,species,CACG,Anseriformes,"Ducks, Geese, and Waterfowl",CACG,Cackling Goose,BRAHUT,小美洲黑雁,Cackling Goose,,,,,Cackling Goose,CACG
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Emperor x Cackling Goose (hybrid),
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow x Cackling Goose (hybrid),
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Ross's x Cackling Goose (hybrid),
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Brant x Cackling Goose (hybrid),
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Greater White-fronted x Cackling Goose (hybrid),
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Barnacle x Cackling Goose (hybrid),
Branta canadensis,Canada Goose,cangoo,species,CANG,Anseriformes,"Ducks, Geese, and Waterfowl",CANG,Canada Goose,BRACAN,加拿大黑雁,Canada Goose,Canada Goose,CAGO,,BBL,Canada Goose,CANG
Anser indicus x Branta canadensis,Bar-headed x Canada Goose (hybrid),x00908,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Bar-headed x Canada Goose (hybrid),
Anser cygnoides x Branta canadensis,Swan x Canada Goose (hybrid),swagoo3,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Swan x Canada Goose (hybrid),
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Pink-footed x Canada Goose (hybrid),
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Greater White-fronted x Canada Goose (hybrid),
Anser albifrons x Branta hutchinsii/canadensis,Greater White-fronted x Cackling/Canada Goose (hybrid),x01088,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Greater White-fronted x Cackling/Canada Goose (hybrid),
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Graylag x Canada Goose (hybrid),
Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid),x00759,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Domestic goose sp. x Canada Goose (hybrid),
Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),x00197,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow x Canada Goose (hybrid),
Anser rossii x Branta canadensis,Ross's x Canada Goose (hybrid),x00693,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Ross's x Canada Goose (hybrid),
Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),x00417,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Barnacle x Canada Goose (hybrid),
Anser caerulescens/rossii x Branta hutchinsii/canadensis,Snow/Ross's x Cackling/Canada Goose (hybrid),y00765,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Snow/Ross's x Cackling/Canada Goose (hybrid),
Branta sandvicensis,Hawaiian Goose,hawgoo,species,HAGO,Anseriformes,"Ducks, Geese, and Waterfowl",HAGO,Hawaiian Goose,BRASAN,,,Hawaiian Goose,HAGO,,,Hawaiian Goose,HAGO
Branta leucopsis x sandvicensis,Barnacle x Hawaiian Goose (hybrid),x01139,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Barnacle x Hawaiian Goose (hybrid),
Branta ruficollis,Red-breasted Goose,rebgoo1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,红胸黑雁,Red-breasted Goose,,,,,Red-breasted Goose,
Anser albifrons x Branta ruficollis,Greater White-fronted x Red-breasted Goose (hybrid),x00939,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Greater White-fronted x Red-breasted Goose (hybrid),
Branta bernicla x ruficollis,Brant x Red-breasted Goose (hybrid),x00996,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Brant x Red-breasted Goose (hybrid),
Branta leucopsis x ruficollis,Barnacle x Red-breasted Goose (hybrid),x00365,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Barnacle x Red-breasted Goose (hybrid),
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Cape Barren Goose,
Stictonetta naevosa,Freckled Duck,freduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Freckled Duck,
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Blue-winged Goose,
Cygnus olor,Mute Swan,mutswa,species,MUSW,Anseriformes,"Ducks, Geese, and Waterfowl",MUSW,Mute Swan,CYGOLO,疣鼻天鹅,Mute Swan,Mute Swan,MUSW,,,Mute Swan,MUSW
Anser anser x Cygnus olor,Graylag Goose x Mute Swan (hybrid),x00366,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Graylag Goose x Mute Swan (hybrid),
Cygnus atratus,Black Swan,blkswa,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Black Swan,
Cygnus olor x atratus,Mute x Black Swan (hybrid),x01037,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Mute x Black Swan (hybrid),
Cygnus melancoryphus,Black-necked Swan,blnswa2,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Black-necked Swan,
Cygnus buccinator,Trumpeter Swan,truswa,species,TRUS,Anseriformes,"Ducks, Geese, and Waterfowl",TRUS,Trumpeter Swan,CYGBUC,,,Trumpeter Swan,TRUS,,,Trumpeter Swan,TRUS
Cygnus olor x buccinator,Mute x Trumpeter Swan (hybrid),x00832,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Mute x Trumpeter Swan (hybrid),
Cygnus columbianus,Tundra Swan,tunswa,species,TUSW,Anseriformes,"Ducks, Geese, and Waterfowl",TUSW,Tundra Swan,CYGCOL,小天鹅,Tundra Swan,,,,,Tundra Swan,TUSW
Cygnus buccinator x columbianus,Trumpeter x Tundra Swan (hybrid),x00418,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Trumpeter x Tundra Swan (hybrid),
Cygnus cygnus,Whooper Swan,whoswa,species,WHOS,Anseriformes,"Ducks, Geese, and Waterfowl",WHOS,Whooper Swan,CYGCYG,大天鹅,Whooper Swan,Whooper Swan,WHOS,,,Whooper Swan,WHOS
